genres,original_language,production_countries,release_date,runtime,title,production_companies_name,year,période
"Mystery, Thriller",en,"DE, US",1992-01-14,116,Knight Moves,"Cineplex Odeon Films, Cinevox Filmproduktion GmbH, Ink Slinger Productions, Knight Moves Productions, Lamb Bear Entertainment",1992,1990-2000
"Science Fiction, Horror",ja,JP,1955-04-24,82,Godzilla Raids Again,TOHO,1955,1950-1970
"Adventure, Action, Thriller",zh,CN,2015-09-30,115,Chronicles of the Ghostly Tribe,"Chuan Films, China Film Group Corporation",2015,>2010
"Thriller, Crime, Drama",en,US,2015-11-20,94,Criminal Activities,"NeeNee Productions, Capacity Pictures, May Day Movies",2015,>2010
"Drama, Horror, Thriller, History",en,US,1996-02-23,104,Mary Reilly,"NFH Films, TriStar Pictures",1996,1990-2000
Action,en,US,1995-10-27,110,Sudden Death,"SHATTERED PRODUCTIONS, Universal Pictures, Imperial Entertainment, Signature Entertainment",1995,1990-2000
"Comedy, Romance",fr,"BE, FR",2015-03-25,86,All About Them,Rectangle Productions,2015,>2010
"Mystery, Thriller, Drama, Horror",en,US,2016-09-09,97,When the Bough Breaks,"Unique Features, Screen Gems",2016,>2010
"Comedy, Crime",en,US,2006-08-31,98,Little Man,"Wayans Bros. Entertainment, Revolution Studios",2006,2000-2010
"Comedy, Horror",en,US,1988-09-17,103,Vampire's Kiss,"Magellan Pictures, Hemdale Film Corporation",1988,1970-1990
"Drama, Thriller",en,GB,2010-08-11,97,Chatroom,Ruby Films,2010,>2010
"Documentary, Comedy",en,,2004-01-02,213,American Pie: Revealed,,2004,2000-2010
"Mystery, Fantasy, Horror",ja,JP,2000-02-11,90,Uzumaki,"Space Shower TV, Omega Micott Inc., Shogakukan",2000,2000-2010
"Action, Crime, Horror",en,GB,1992-05-01,90,Split Second,"Challenge Film Corporation, Entertainment, Muse Productions, XYZ Funding N.V.",1992,1990-2000
"Drama, Mystery, Romance",en,"FR, DE, US, GB",2004-10-29,100,Birth,"Academy Films, Fine Line Features, New Line Cinema, Lou Yi",2004,2000-2010
"Family, Comedy",en,"CA, US",2007-04-04,111,Firehouse Dog,"Regency Enterprises, New Regency Productions, C.O.R.E. Digital Pictures, Doghouse Productions",2007,2000-2010
"Animation, Family, Adventure, Fantasy",en,US,1942-08-24,42,Saludos Amigos,Walt Disney Productions,1942,<1950
"Family, Comedy",en,US,2005-05-03,97,The Sandlot 2,"David Evans Pictures, 20th Century Fox Home Entertainment",2005,2000-2010
"Comedy, Horror",en,US,2008-10-14,87,Dance of the Dead,Compound B,2008,2000-2010
